,名称,区域,地址
60,菜鸟驿站(上海徐汇区龙兰路277号店),区域：徐汇区 龙华,地址：龙华街道龙兰路277号(云锦路地铁站5号口步行220米)
61,菜鸟驿站(上海市徐汇区盛华景苑店),区域：徐汇区,地址：华泾镇望月路419号(理发店与药店中间)
62,,,
63,菜鸟驿站(上海市徐汇区龙华路盛大花园店),区域：徐汇区 龙华,地址：龙华街道龙华路2556号(龙华地铁站3号口步行250米)
64,菜鸟驿站(上海市徐汇区华济路1号店),区域：徐汇区,地址：华泾镇华济路1-6号
65,,,
66,菜鸟驿站(全家龙吴路四店),区域：徐汇区 华泾,地址：龙吴路1333-8号1层
67,菜鸟驿站(上海徐汇区东泉路68号店),区域：徐汇区,地址：东泉路68号(石龙路地铁站东南入口步行370米)
68,,,
69,菜鸟驿站(上海市徐汇区楼园小区13号店),区域：徐汇区 康健,地址：上海上海市徐汇区长桥街道老沪闵路706弄13号-4
70,菜鸟驿站(上海徐汇区上中西路223号店),区域：徐汇区,地址：上中西路223-2号
71,,,
72,菜鸟驿站(上海徐汇上中路39号店),区域：徐汇区 华泾,地址：长桥街道上中路39号
73,菜鸟驿站(凌云路店),区域：徐汇区,地址：凌云路街道凌云路206号工商银行旁边
74,,,
75,菜鸟驿站(上海徐汇东漕河泾57号店),区域：徐汇区 龙华,地址：漕河泾街道东漕河泾57号(漕宝路地铁站5号口步行390米)
76,菜鸟驿站(徐汇区斜土路2200弄1号店),区域：徐汇区,地址：枫林路街道斜土路2200弄1号原水果店
77,,,
78,菜鸟驿站(上海天等路220号店),区域：徐汇区 梅陇,地址：长桥街道天等路220号
79,菜鸟驿站(上海徐汇双峰路300号店),区域：徐汇区,地址：枫林路街道双峰路300号菜市场后门
80,,,
81,菜鸟驿站(全家康健路二店),区域：徐汇区 漕河泾,地址：康健路36号
82,菜鸟驿站(上海市东湾小区116号7号门店),区域：徐汇区,地址：华泾镇龙吴路2388弄116号7号东湾小区
83,,,
84,菜鸟驿站(上海徐汇区龙水南路266号店),区域：徐汇区 龙华,地址：龙水南路龙南公寓
85,菜鸟驿站(上海东泉路185号店),区域：徐汇区,地址：东泉路185号旺旺便利店
86,,,
87,菜鸟驿站(上海罗秀新村60号店),区域：徐汇区 华泾,地址：长桥街道罗秀新村60号楼菜鸟驿站
88,菜鸟驿站(全家小木桥路三店),区域：徐汇区,地址：小木桥路227弄3号底楼全家便利店
89,,,
90,菜鸟驿站(全家中山西路九店),区域：徐汇区 田林,地址：中山西路1600号1层05.06室
91,菜鸟驿站(上海丰谷路237号店),区域：徐汇区,地址：丰谷路237号
92,,,
93,菜鸟驿站(华沁家园店),区域：徐汇区 华泾,地址：龙吴路1333号近华沁家园
94,菜鸟驿站(上海理工大学复兴路店),区域：徐汇区,地址：陕西南路上海理工大学(复兴路校区)
95,,,
96,菜鸟驿站(桂林西街店),区域：徐汇区 康健,地址：康健新村街道桂林西街27号菜鸟驿站
97,菜鸟驿站(龙川北路店),区域：徐汇区,地址：龙川北路145号(全日送长桥投递站)
98,,,
99,菜鸟驿站(百色路店),区域：徐汇区,地址：百色路451弄4一1号
